mean_loss,epsilon
0.713219877458,0.9999181
0.417679985445,0.9998875
0.267487520865,0.9998641
0.414774752342,0.9997993
0.367770167779,0.9997768
0.674717485849,0.9997552
0.601017353758,0.9997273
0.54512061823,0.9997075
0.450432163478,0.9996598
0.372823246845,0.9996382
0.376968078083,0.9995734
0.352469458537,0.9995491
0.27619254779,0.9995275
0.498791558039,0.9994771
0.401929115141,0.9994564
0.500922945868,0.9993457
0.39554713457,0.9993232
0.342343513057,0.9992926
0.486795322583,0.999271
0.420660882285,0.9992458
0.437901210797,0.9991837
0.720757145063,0.999163
0.319853577676,0.9991414
0.35203040052,0.9991171
0.667938627434,0.9990901
0.312943300277,0.9990703
0.559633484052,0.9990487
0.341558131203,0.9990262
0.63480223358,0.9989992
0.429654106093,0.9989749
0.477078907632,0.9988417
0.527235490721,0.998821
0.209516133577,0.9988003
0.699661499338,0.9987778
0.208306750729,0.998758
0.47927803133,0.9987355
0.525244402452,0.9987157
0.358601520153,0.9986923
0.575350238852,0.9986635
0.421321078511,0.998641
0.211930709382,0.9986212
0.390686952339,0.9985717
0.368515514277,0.998497
0.43801952696,0.9984457
0.370521957855,0.998425
0.500052498196,0.9983989
0.369412770123,0.9983719
0.309961406178,0.9983044
0.586141075477,0.9982828
0.607930441795,0.9982612
0.263268402662,0.9982243
0.456445219901,0.9982027
0.468427094589,0.9981406
0.302782447979,0.998119
0.389460917961,0.9980974
0.506676243374,0.9980335
0.40320516403,0.9979255
0.415606050918,0.9978994
0.539888972992,0.9978058
0.502158093615,0.9977824
0.475763225817,0.997759
0.490712423449,0.997669
0.369334040613,0.9976465
0.547236731353,0.9975961
0.417020002697,0.9975745
0.654800069202,0.9975511
0.478980158252,0.9975277
0.439223754073,0.9975034
0.472196847854,0.997435
0.449633766173,0.9974152
0.44319096454,0.9973918
0.283202969374,0.9973675
0.693418027758,0.9973477
0.545307799781,0.9973252
0.484219219826,0.9973027
0.325174919358,0.9972487
0.314685888867,0.997228
0.68155137735,0.9972001
0.31117892292,0.9971731
0.325512284634,0.9971533
0.40247017241,0.9971209
0.510819172991,0.9970984
0.375059767968,0.9970354
0.393660053567,0.9970102
0.469027971924,0.9969814
0.336197639501,0.9969589
0.476187432427,0.9968914
0.477250029653,0.9968446
0.453734197629,0.9968194
0.378305454116,0.9967942
0.384297258277,0.9967717
0.613221027262,0.9967501
0.559649692836,0.9967303
0.437182769085,0.996706
0.590702341553,0.9966862
0.360974147862,0.9966574
0.695516352848,0.9966313
0.432428075543,0.996607
0.404430702775,0.9965854
0.412871113887,0.9965215
0.416812614631,0.9964981
0.377625229712,0.9964684
0.423038201472,0.9964009
0.535947331575,0.9963784
0.340755468074,0.996355
0.307581168052,0.9963298
0.463513538509,0.9963046
0.376003546765,0.9962848
0.33650122629,0.9962632
0.576094668088,0.9962416
0.385482810519,0.9962155
0.575036944219,0.9961912
0.649902631631,0.9961669
0.433928993274,0.9961417
0.363921809929,0.9961201
0.382558110956,0.9960976
0.438446436145,0.9960742
0.448982090361,0.9960517
0.636426526881,0.996004
0.491359696566,0.9959779
0.335242530639,0.9959581
0.470149746519,0.995869
0.408816588572,0.9958465
0.442326379406,0.995824
0.404269413743,0.9958006
0.450315574205,0.9957808
0.361402054765,0.9957565
0.44318027126,0.9957331
0.402628811021,0.9957115
0.603272873391,0.9956899
0.585686749541,0.995662
0.285224953922,0.9956359
0.199624507062,0.9956098
0.412116998114,0.9955855
0.310615089117,0.995563
0.452005341623,0.9955369
0.349487085072,0.9955108
0.457975250542,0.9954892
0.561768436781,0.9954658
0.546508736224,0.9954442
