MaxReturn,dLoss,LossAfter,MaxForwardProgress,StdForwardProgress,MinForwardProgress,NumTrajs,MeanKLBefore,Iteration,AverageDiscountedReturn,MinReturn,StdReturn,LossBefore,AverageForwardProgress,Entropy,AveragePolicyStd,Perplexity,MeanKL,ExplainedVariance,AverageReturn
9.49425075233,0.00625940211127,-0.00625940211127,0.608427000946,0.303261765271,-0.90822293217,107,0.0,0,-0.681680871831,-20.7587541678,6.04459723244,1.85847183956e-16,-0.122123510551,2.83787706641,1.0,17.0794684453,0.00649952843288,7.69927854805e-09,-5.12887687125
11.4723820483,0.00551565969281,-0.00551565969281,0.71872954142,0.29042851436,-0.832153336706,107,0.0,1,-0.626082402817,-19.0885577836,5.74916656757,7.77124989489e-17,-0.0124212215037,2.82987560489,0.996015363832,16.9433530231,0.00693209332093,0.0792383790338,-2.92488892196
11.4011106386,0.00877546123018,-0.00877546123018,0.708293828078,0.235294075361,-0.454363999853,107,0.0,2,0.616035513636,-11.6588076211,4.66124229243,1.00916160164e-17,0.206695718779,2.8351257894,0.998688448909,17.032542679,0.0099116154564,-0.236124604789,1.46353729173
17.052975346,0.00848689934652,-0.00848689934652,0.996256360472,0.213435408106,-0.0951748668566,107,0.0,3,1.57414708074,-4.66772963268,4.27457102357,4.07615270716e-17,0.353280142789,2.83877163112,1.00053219141,17.094753971,0.00664664351961,0.397999244596,4.3252938793
25.7020329242,0.00887684902986,-0.00887684902987,1.42339515216,0.327680525144,-0.126310417671,107,0.0,4,2.20221349277,-5.42040135381,6.56992691359,-8.37620730824e-16,0.621891079536,2.8379991302,1.00018821027,17.0815533572,0.00661120845189,0.448320599146,9.70505731633
28.2519115674,0.00858712557808,-0.00858712557808,1.55390450965,0.325614072035,0.0347918024197,107,0.0,5,3.252066503,-1.82281412794,6.51760785133,1.41066805174e-16,0.912084627804,2.82911769235,0.995934028153,16.9305163086,0.00721350735403,0.548751324991,15.4864352622
34.3645945422,0.00780215102533,-0.00780215102533,1.85639330172,0.294691230861,0.407983055034,107,0.0,6,3.90456993926,5.47346607087,5.87581077204,-2.89429954562e-16,1.26999630201,2.81400453637,0.988467592765,16.6765665993,0.00707601795225,0.610557141586,22.6528272772
41.4315105419,0.00816780890358,-0.00816780890358,2.20794906342,0.270713343901,0.934365052136,107,0.0,7,4.56926032894,15.9899093534,5.40579290197,-1.45262825652e-16,1.54146525719,2.8077230125,0.98521500818,16.5721406685,0.00694565071962,0.742024109941,28.0883585115
45.9252378311,0.00809697684065,-0.00809697684065,2.44484126381,0.34376658178,0.509150395808,107,0.0,8,5.09740825037,7.2355185691,6.87051382285,-4.04988607551e-16,1.74161371527,2.79717223322,0.9801597629,16.3982108313,0.00684170300752,0.779683245082,32.052423323
47.8755247582,0.00710910903459,-0.00710910903459,2.53473412759,0.243896474744,1.25158615906,107,0.0,9,6.21721215286,22.1617000154,4.88925715176,-1.92029154779e-16,2.0802525306,2.77521910559,0.969360091294,16.0421415335,0.0066431324923,0.836589357688,38.8385356291
52.3738447118,0.00746406440991,-0.00746406440991,2.75370530511,0.258334039016,1.48312569139,107,0.0,10,6.64394451371,27.0644045369,5.14287914533,2.14839568773e-16,2.23257869393,2.74730067179,0.955917331191,15.6004642244,0.00665351108492,0.858861275551,41.8797180341
52.9036195919,0.007650002825,-0.007650002825,2.78720594365,0.189151819699,1.70089933459,107,0.0,11,7.71771633422,31.2161116082,3.75269885273,2.817808292e-16,2.46389548335,2.72279109479,0.944228222865,15.2227511473,0.00660178299334,0.903508292363,46.5123393977
55.1664826533,0.00755395864807,-0.00755395864807,2.89643878399,0.168285844,2.14931363249,107,0.0,12,8.00852646401,40.2722332061,3.33257150741,1.00048733576e-16,2.59179261802,2.69977321469,0.933425614479,14.8763576029,0.00675284269381,0.927117529633,49.0321582417
57.8979107369,0.00775921375834,-0.00775921375834,3.03950848212,0.145733780969,2.26870788556,107,0.0,13,8.4140890036,42.6978138077,2.86157156032,-4.2441647289e-17,2.72789789784,2.67348261075,0.921184313883,14.4903456547,0.00667612909887,0.941680273602,51.7367563463
59.4122733203,0.00761911511317,-0.00761911511317,3.12168139218,0.151055646802,2.46734219805,107,0.0,14,9.08853024106,46.6287465729,2.96437893185,2.0984252757e-17,2.8367620423,2.64856993889,0.909847945313,14.1338119712,0.00688509915921,0.937485144128,53.8947520223
62.2816976979,0.00774578099183,-0.00774578099183,3.26197363602,0.115188483074,2.56657922082,107,0.0,15,9.45036087759,48.5566150439,2.28248204912,-4.46579429718e-18,2.97358585273,2.60576498005,0.890510585178,13.5415803804,0.00671158441782,0.958238108479,56.6088854667
63.6540783657,0.00704841286788,-0.00704841286788,3.34181755357,0.113647530022,2.75464642948,107,0.0,16,10.0226073692,52.3597823533,2.24121016402,1.60204144862e-17,3.09300114937,2.57209437685,0.875657116265,13.0932178773,0.0068207351661,0.958611357792,58.9796903472
65.2039568761,0.00811787500243,-0.00811787500243,3.40784052073,0.112514610615,2.81768417796,107,0.0,17,10.3480486205,53.7070869836,2.19578323457,-5.24398800603e-17,3.20003682728,2.53263645361,0.858556379467,12.5866465407,0.00686344303711,0.96536882995,61.0960686034
68.4551014614,0.0077145987598,-0.0077145987598,3.5737809087,0.110633628648,3.01219788271,107,0.0,18,10.5568167677,57.3831326328,2.1889981758,-8.47006784544e-17,3.28852416699,2.49660174116,0.843316759268,12.141164956,0.00693780900181,0.969717540262,62.8487812111
