epoch,num_episodes,total_reward,reward_per_epoch,best_reward,mean_q
1,10,-197,-19.7,0,-0.86355453765
2,7,-129,-18.4285714286,-12,-0.973986164276
3,9,-174,-19.3333333333,-9,-0.996272964971
4,6,-107,-17.8333333333,-3,-0.989349698198
5,5,-91,-18.2,-7,-0.986251679568
6,5,-81,-16.2,-8,-0.948672701004
7,4,-59,-14.75,-12,-0.922867101009
8,5,-74,-14.8,-2,-0.886809142109
9,5,-77,-15.4,-12,-0.92032361981
10,5,-98,-19.6,-5,-0.860281276372
